iter	RMSE
294	12399.36023
295	12396.0625
296	12393.11669
297	12390.4809
298	12387.7637
299	12384.9771
300	12383.73026
301	12381.87989
302	12378.55669
303	12375.61712
304	12373.17216
305	12371.56953
306	12369.55354
307	12367.24322
308	12365.38353
309	12363.65121
310	12361.6392
311	12358.20812
312	12356.7495
313	12355.66082
314	12353.37252
315	12351.84025
316	12349.83661
317	12348.45537
318	12346.59531
319	12344.77817
320	12342.25169
321	12340.13997
322	12338.73408
323	12336.25457
324	12335.14825
325	12334.18206
326	12331.44258
327	12328.20225
328	12326.09224
329	12323.97757
330	12320.61768
331	12318.19293
332	12315.21552
333	12313.71559
334	12312.10228
335	12310.23474
336	12308.06605
337	12306.37329
338	12305.21727
339	12302.72297
340	12300.48036
341	12296.96942
342	12295.27415
343	12293.80793
344	12292.17416
345	12290.5629
346	12288.0398
347	12286.53388
348	12284.21564
349	12282.45195
350	12279.10508
351	12277.55091
352	12274.90328
353	12272.3297
354	12269.97772
355	12267.90223
356	12266.25806
357	12263.41766
358	12262.18776
359	12260.72185
360	12258.61918
361	12255.77052
362	12252.83709
363	12249.97205
364	12248.26533
365	12245.93931
366	12243.95026
367	12241.83969
368	12239.09176
369	12237.37584
370	12234.93819
371	12233.67995
372	12229.97313
373	12228.71721
374	12226.21739
375	12223.09805
376	12220.96966
377	12219.38544
378	12216.79418
379	12215.56457
380	12212.95929
381	12211.51632
382	12209.28371
383	12206.47135
384	12204.21639
385	12202.71061
386	12201.21419
387	12198.91837
388	12195.64886
389	12193.96008
390	12191.55734
391	12190.00143
392	12188.358
393	12186.32356
394	12184.63372
395	12182.57606
396	12181.18082
397	12177.90457
398	12176.62605
399	12175.16858
400	12172.9716
401	12171.56408
402	12169.94384
403	12168.5315
404	12167.00369
405	12165.16205
406	12162.83211
407	12160.11396
408	12158.42297
409	12156.65793
410	12155.02396
411	12154.36525
412	12151.79042
413	12150.30067
414	12148.49287
415	12146.9543
416	12144.47331
417	12142.09822
418	12139.59862
419	12137.36803
420	12136.1328
421	12134.59798
422	12133.15692
423	12130.03149
424	12126.65745
425	12123.97373
426	12121.99627
427	12120.66947
428	12119.36543
429	12117.0025
430	12114.9428
431	12113.29056
432	12111.13461
433	12109.60564
434	12107.73748
435	12106.25405
436	12103.92426
437	12102.76506
438	12101.79195
439	12100.34135
440	12097.95029
441	12096.61207
442	12094.4118
443	12092.27141
444	12090.1502
445	12087.10462
446	12085.44714
447	12083.63205
448	12081.32002
449	12079.77642
450	12078.40231
451	12076.20082
452	12074.57118
453	12072.61825
454	12071.15545
455	12068.46357
456	12066.25077
457	12064.99054
458	12062.61703
459	12060.99543
460	12058.02593
461	12054.92415
462	12053.65837
463	12051.10999
464	12049.8422
465	12048.32479
466	12046.2552
467	12044.73351
468	12043.91748
469	12042.94444
470	12040.86378
471	12038.9387
472	12037.40888
473	12036.39112
474	12034.23241
475	12032.28066
476	12029.95786
477	12027.67918
478	12025.35997
479	12023.53984
480	12022.42871
481	12020.80498
482	12018.91855
483	12017.26876
484	12015.17368
485	12013.87797
486	12010.74921
487	12008.47211
488	12005.60595
489	12004.6881
490	12002.51368
491	12000.45266
492	11998.79456
493	11996.52723
494	11995.33602
